,image,nationality,id_recipe,rating,calories,total fat,sugar,sodium,protein,saturated fat,carbohydrates,minutes,original_name
55,https://www.vzug.com/medias/sys_master/recipeimages/recipeimages/h17/h66/8981687631902/recipe-img-slide.jpg,French,475313,3.0,982.9,88.0,295.0,11.0,14.0,135.0,39.0,80,Tarte tatin
56,https://images-3662.kxcdn.com/fidelitynews/wp-content/uploads/sites/6/2018/01/1517219140_f055c0757a72a3a48b267d0878cf5344e3a3f6b1-1517074283.png?w=580,Italian,160696,5.0,550.9,37.0,5.0,13.0,58.0,65.0,17.0,20,Pasta Carbonara
57,https://i2.wp.com/www.viaggi-lowcost.info/wp-content/uploads/2014/04/arancino.jpg?resize=655%2C340&ssl=1,Italian,75750,4.5,621.2,50.0,9.0,33.0,51.0,88.0,18.0,24,Arancini
58,https://www.ricettapizzanapoletana.it/wp-content/uploads/2019/07/pizza-napoletana.jpg,Italian,270311,3.0,852.2,104.0,19.0,64.0,103.0,160.0,3.0,50,Pizza Margherita
59,http://www.aiafood.com/sites/default/files/styles/resize_to_half/public/recipes/lasagne.jpg?itok=7dBa-1KJ&timestamp=1484664262,Italian,224037,4.0,462.9,53.0,28.0,33.0,46.0,94.0,4.0,80,Lasagne
60,https://www.salepepe.it/files/2014/03/ricetta-parmigiana-melanzane_7-850x638.jpg,Italian,455952,5.0,180.2,19.0,12.0,12.0,20.0,38.0,3.0,35,Parmigiana 
61,https://www.primariepd2013.it/wp-content/uploads/2018/07/Bucatini-alla-Amatriciana.jpg,Italian,351191,5.0,518.1,8.0,29.0,34.0,42.0,13.0,31.0,45,Pasta Amatriciana
62,https://www.negroni.com/sites/negroni.com/files/styles/scale__1440_x_1440_/public/saltimbocca-alla-romana.jpg?itok=GW4qGrGw,Italian,231225,5.0,160.1,23.0,1.0,0.0,0.0,32.0,0.0,30,Saltimbocca alla romana
63,https://blog.giallozafferano.it/allacciateilgrembiule/wp-content/uploads/2018/12/torrone-casa.jpg,Italian,200133,-1.0,215.4,7.0,159.0,0.0,5.0,2.0,14.0,90,Torrone
64,http://cdn.cook.stbm.it/thumbnails/ricette/9/9648/hd750x421.jpg,Italian,25259,3.0,509.8,22.0,296.0,4.0,21.0,46.0,27.0,745,Tiramisu
65,https://newfoodcity.de/wp-content/uploads/2018/05/wiener-schnitzel.jpg,Austrian,523359,-1.0,259.7,23.0,18.0,31.0,34.0,28.0,4.0,55,Wiener Schnitzel
66,https://www.gutekueche.at/img/rezept/27962/omas-tafelspitz-aus-dem-dampfgarer.jpg,Austrian,424874,5.0,881.1,93.0,30.0,59.0,86.0,121.0,12.0,135,Tafelspitz
67,https://img.chefkoch-cdn.de/rezepte/853001190787851/bilder/1196458/crop-360x240/gulasch-suedtiroler-art.jpg,Austrian,382187,-1.0,2479.2,392.0,22.0,29.0,60.0,509.0,4.0,90,Gulasch
68,https://www.google.com/search?rlz=1C1GCEU_enCH819CH819&biw=1463&bih=780&tbm=isch&sxsrf=ACYBGNTXoKJAwGvLbFNWVoKsI6gWf672ZQ%3A1570873195900&sa=1&ei=a5-hXd7DNs_QwQKd-4yACA&q=Sachertorte&oq=Sachertorte&gs_l=img.3..0l2j0i30l7j0i5i30.12813.12813..13455...0.0..0.57.57.1......0....2j1..gws-wiz-img.tUJ0ql4l6Pk&ved=0ahUKEwiepdDWtpblAhVPaFAKHZ09A4AQ4dUDCAc&uact=5,Austrian,56612,-1.0,9184.3,841.0,2592.0,109.0,239.0,1408.0,391.0,80,Sachertorte
69,https://www.gusto.at/_storage/asset/7971722/storage/womanat:slideshow-large/file/115567564/57899139.jpg,Austrian,448399,-1.0,660.0,50.0,198.0,27.0,50.0,88.0,22.0,30,Palatschinken
70,https://www.kuechengoetter.de/uploads/media/960x960/06/57706-kaiserschmarrn.jpg?v=2-8,Austrian,460128,-1.0,328.0,20.0,26.0,7.0,24.0,33.0,13.0,25,Kaiserschmarrn
71,"https://images.lecker.de/,id=6856db19,b=lecker,w=610,cg=c.jpg",Austrian,424845,-1.0,298.6,20.0,70.0,6.0,6.0,35.0,13.0,150,Apfelstrudel
